0,0,88
0,-17,86
0,-34,81
0,-50,72
-24,-58,61
-45,-45,61
-52,-52,47
-48,-66,31
-51,-70,14
-51,-71,-3
-50,-69,-20
-47,-64,-37
-25,-75,-37
-26,-81,-20
-27,-83,-3
-27,-82,14
-25,-78,31
-28,-68,47
0,-63,61
0,-74,47
0,-82,31
0,-86,14
0,-87,-3
0,-85,-20
0,-79,-37
25,-75,-37
26,-81,-20
27,-83,-3
27,-82,14
25,-78,31
28,-68,47
24,-58,61
17,-5,86
24,-24,81
45,-45,61
52,-52,47
48,-66,31
51,-70,14
51,-71,-3
50,-69,-20
47,-64,-37
69,-50,-20
71,-51,-3
70,-51,14
66,-48,31
83,-27,-3
82,-27,14
78,-25,31
68,-28,47
58,-24,61
43,-25,72
34,0,81
50,0,72
63,0,61
74,0,47
82,0,31
86,0,14
87,0,-3
83,27,-3
82,27,14
78,25,31
68,28,47
58,24,61
43,25,72
10,14,86
24,24,81
45,45,61
52,52,47
66,48,31
70,51,14
71,51,-3
51,71,-3
51,70,14
48,66,31
25,43,72
24,58,61
28,68,47
25,78,31
27,82,14
27,83,-3
0,87,-3
0,86,14
0,82,31
0,74,47
0,63,61
0,50,72
0,34,81
-25,43,72
-24,58,61
-28,68,47
-25,78,31
-27,82,14
-27,83,-3
-51,71,-3
-51,70,14
-48,66,31
-10,14,86
-24,24,81
-45,45,61
-52,52,47
-66,48,31
-70,51,14
-71,51,-3
-83,27,-3
-82,27,14
-78,25,31
-68,28,47
-58,24,61
-43,25,72
-34,0,81
-17,-5,86
-24,-24,81
-43,-25,72
-50,0,72
-63,0,61
-74,0,47
-82,0,31
-86,0,14
-87,0,-3
-83,-27,-3
-82,-27,14
-78,-25,31
-68,-28,47
-58,-24,61
-66,-48,31
-70,-51,14
-71,-51,-3
-69,-50,-20
